Marca temporal,¿Eres de nacionalidad venezolana?,maría josé cristina,stes,eumaría del,yatriz,maría de la helevin,olima,gaura,karlos enriquel aleja,rau,marguel,geomalejaneth,maría helyn,ara,flory,corin,yula,manuel alerith,fabiania,geudo,maría hel,yiliferlinyerlea,yumelicia,josé mnlis,josé josé,noela,yenis, maría del alejandrésan,marge,bela,maría coúo,nel,maribella,ales,lio,napatrid,red,marturo,andra,alomoto,maranto,francio,pedro josé jescar,gerson,oer,carolin,aleria angel,ilia,maría josúatías,wilfreddy,pedro dauel,elea,jaco,eumarita,neis,karelys,ofreda,glena,maro,eucarótta,jóaira,óid,napbebeo,joónicela,rolimaría teres,gus,engelice,maría virgin,litua,ira,johnny,maría fernandreana,ara,angelenda,irnara,yggega,lattu,mariel alenessa,maría gabriel anrancio,mar,maría josé enriquel,neita,nubio,hersca,jorca,lydi,alena,jaco,men,georgariel carlos,doohany,blepdyyn,nella,josé jesus,bel,maría heloína,maría virginya,neida,zaniel,ste,alejandrés,wilftuco,georgarin,lulia,yenis,pedro dania,gustefanessa,geritzy,nauel,beth,jealifer,yenira,mar,dalecia,felba,francio,bibibiana,meybeatrid,alejanl,elo,maría alerina,gubio,nataly,ila,alerina,kathe,yaico,coro,vivl gabriana,manuelyn,natalica,alomoto,zayfelis,oarantonior,maro,brancito,axciel alejandl carolimar,miguel alejaneía,juan manuel caro,alep,maría fer,eumhelin,mar,dalejanexlady,yabto,dania,sara,mar,georossa,carmelica,margaria angy,anes,alomoto,oulia,kronatan,zoraly,luisabeth,mer,aleja,josé antonela,oscardo,migua,arely,jorgania,geomalix,maría valenjania,jovangelisset,maría gabriel carmelia,mayudel aleja, valejanda
25/03/2024 10:26:37,Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,Sí,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No
25/03/2024 10:29:57,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,"Sí, No",Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
25/03/2024 10:36:44,No,Sí,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
25/03/2024 10:45:32,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,Sí,No,Sí,No,No,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí
25/03/2024 10:54:42,No,Sí,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,No,No,No
25/03/2024 10:59:58,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25/03/2024 11:01:29,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Sí,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
25/03/2024 11:12:59,No,Sí,No,No,Sí,Sí,No,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,"Sí, No",Sí,No,No,No,No,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No
25/03/2024 12:27:17,Sí,No,No,Sí,No,No,Sí,No,No,No,Sí,No,Sí,No,Sí,No,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,No,Sí,No,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No
25/03/2024 12:35:53,Sí,Sí,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,Sí,No,Sí,No,No,Sí,No,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,No,No,Sí,No,No
25/03/2024 12:36:00,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
25/03/2024 12:36:31,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,No,Sí,No,Sí,Sí,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,Sí,No,No,No,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,No,Sí,No,No
25/03/2024 12:44:19,Sí,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Sí,No,No,Sí,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí
